exchange,id,data_start
BINANCE,BINANCE_SPOT_KEY_ETH,2018-06-27
BINANCE,BINANCE_SPOT_NAS_BTC,2018-06-28
BINANCE,BINANCE_SPOT_NAS_ETH,2018-06-28
BINANCE,BINANCE_SPOT_SKY_BTC,2018-05-24
BINANCE,BINANCE_SPOT_MFT_BNB,2018-07-05
BINANCE,BINANCE_SPOT_MFT_ETH,2018-07-05
BINANCE,BINANCE_SPOT_DENT_ETH,2018-07-06
BINANCE,BINANCE_SPOT_WTC_ETH,2017-08-27
BINANCE,BINANCE_SPOT_ARDR_BTC,2018-07-18
BINANCE,BINANCE_SPOT_NULS_USDT,2018-07-23
BINANCE,BINANCE_SPOT_HOT_ETH,2018-07-24
BINANCE,BINANCE_SPOT_VET_ETH,2018-07-25
BINANCE,BINANCE_SPOT_VET_BTC,2018-07-25
BINANCE,BINANCE_SPOT_VET_BNB,2018-07-25
BINANCE,BINANCE_SPOT_VET_USDT,2018-07-25
BINANCE,BINANCE_SPOT_DOCK_BTC,2018-07-30
BINANCE,BINANCE_SPOT_POLY_BTC,2018-07-31
BINANCE,BINANCE_SPOT_WAN_BNB,2018-03-23
BINANCE,BINANCE_SPOT_WPR_BTC,2018-03-29
BINANCE,BINANCE_SPOT_BCPT_BTC,2017-11-14
BINANCE,BINANCE_SPOT_GO_BTC,2018-09-12
BINANCE,BINANCE_SPOT_COMET_ETH,2017-12-05
BINANCE,BINANCE_SPOT_TNB_BTC,2017-12-15
BINANCE,BINANCE_SPOT_MCO_ETH,2017-08-23
BINANCE,BINANCE_SPOT_STORJ_ETH,2017-11-03
BINANCE,BINANCE_SPOT_XZC_ETH,2017-11-22
BINANCE,BINANCE_SPOT_XZC_BTC,2017-11-22
BINANCE,BINANCE_SPOT_RVN_BTC,2018-10-12
BINANCE,BINANCE_SPOT_RVN_BNB,2018-10-12
BINANCE,BINANCE_SPOT_MCO_BTC,2017-08-24
BINANCE,BINANCE_SPOT_STRAT_BTC,2017-09-14
BINANCE,BINANCE_SPOT_STRAT_ETH,2017-09-14
BINANCE,BINANCE_SPOT_AGI_BTC,2018-06-05
BINANCE,BINANCE_SPOT_COMET_BTC,2017-12-05
BINANCE,BINANCE_SPOT_VIBE_BTC,2018-01-10
BINANCE,BINANCE_SPOT_DCR_BTC,2018-10-24
BINANCE,BINANCE_SPOT_MITH_BNB,2018-11-20
BINANCE,BINANCE_SPOT_MITH_BTC,2018-11-20
BINANCE,BINANCE_SPOT_EVX_ETH,2017-10-26
BINANCE,BINANCE_SPOT_NULS_ETH,2017-11-09
BINANCE,BINANCE_SPOT_REN_BTC,2018-12-06
BINANCE,BINANCE_SPOT_XRP_TUSD,2018-12-06
BINANCE,BINANCE_SPOT_BNB_USDC,2018-12-15
BINANCE,BINANCE_SPOT_EOS_USDC,2018-12-15
